fecha,comuna,categoria,producto,cantidad,precio_unitario,total_venta,medio_pago,cliente_nuevo
2023-11-23,Futrono,Ropa,Polera,3,100600.0,301800.0,Crédito,False
2023-11-13,La Unión,Ropa,Chaqueta,4,192900.0,771600.0,Crédito,False
2023-06-27,La Unión,Ropa,Polera,3,112100.0,336300.0,Débito,False
2023-03-05,Lanco,Deportes,Balón,2,361400.0,722800.0,Efectivo,True
2023-07-20,Panguipulli,Electrodomésticos,Microondas,2,297700.0,595400.0,Transferencia,True
2023-11-04,Futrono,Alimentos,Huevos,1,466200.0,466200.0,Efectivo,False
2023-07-28,Los Lagos,Deportes,Zapatillas,3,239800.0,719400.0,Efectivo,False
2023-09-22,Los Lagos,Alimentos,Huevos,2,138900.0,277800.0,Débito,False
2023-07-25,Mariquina,Hogar,Mesa,1,497500.0,497500.0,Crédito,False
2023-02-26,Mariquina,Electrodomésticos,Hervidor,1,496400.0,496400.0,Efectivo,False
2023-03-19,Río Bueno,Electrodomésticos,Refrigerador,4,402200.0,1608800.0,Débito,True
2023-01-17,La Unión,Tecnología,Tablet,2,80100.0,160200.0,Débito,False
2023-06-25,La Unión,Deportes,Bicicleta,4,263300.0,1053200.0,Transferencia,False
2023-09-28,Río Bueno,Ropa,Pantalón,1,321400.0,321400.0,Débito,True
2023-12-11,Los Lagos,Electrodomésticos,Microondas,1,452900.0,452900.0,Transferencia,True
2023-09-30,Panguipulli,Alimentos,Leche,4,271100.0,1084400.0,Débito,False
2023-08-23,Futrono,Tecnología,Tablet,3,225700.0,677100.0,Crédito,True
2023-02-02,Corral,Electrodomésticos,Hervidor,1,316700.0,316700.0,Transferencia,True
2023-01-02,Lanco,Hogar,Lámpara,4,190800.0,763200.0,Crédito,True
2023-10-31,Río Bueno,Alimentos,Arroz,2,255100.0,510200.0,Débito,True
2023-07-14,Lanco,Deportes,Zapatillas,1,436400.0,436400.0,Efectivo,True
2023-08-09,Los Lagos,Electrodomésticos,Microondas,1,10700.0,10700.0,Crédito,False
2023-01-22,Lanco,Deportes,Zapatillas,4,314000.0,1256000.0,Débito,False
2023-07-11,Futrono,Hogar,Lámpara,2,452700.0,905400.0,Débito,False
2023-02-12,Mariquina,Tecnología,Notebook,4,105700.0,422800.0,Crédito,True
2023-04-09,Paillaco,Deportes,Bicicleta,1,228100.0,228100.0,Transferencia,False
2023-01-28,Lanco,Hogar,Lámpara,4,390300.0,1561200.0,Transferencia,True
2023-09-12,Valdivia,Hogar,Mesa,1,203900.0,203900.0,Transferencia,True
2023-02-26,Panguipulli,Alimentos,Huevos,1,101200.0,101200.0,Efectivo,False
2023-06-19,Panguipulli,Ropa,Chaqueta,4,349700.0,1398800.0,Transferencia,False
2023-07-25,Panguipulli,Ropa,Polera,1,220900.0,220900.0,Débito,False
2023-05-21,Mariquina,Hogar,Mesa,1,112500.0,112500.0,Crédito,False
2023-02-19,Los Lagos,Tecnología,Tablet,1,304200.0,304200.0,Efectivo,False
2023-06-26,Futrono,Electrodomésticos,Hervidor,2,343500.0,687000.0,Efectivo,True
2023-11-29,Paillaco,Electrodomésticos,Hervidor,3,230200.0,690600.0,Débito,False
2023-02-11,Valdivia,Deportes,Zapatillas,4,96300.0,385200.0,Débito,True
2023-09-10,Corral,Electrodomésticos,Microondas,3,386800.0,1160400.0,Efectivo,False
2023-08-18,Panguipulli,Hogar,Lámpara,1,356000.0,356000.0,Débito,True
2023-10-15,Los Lagos,Ropa,Chaqueta,3,148800.0,446400.0,Débito,True
2023-04-13,Panguipulli,Alimentos,Huevos,2,428900.0,857800.0,Crédito,False
2023-09-17,Paillaco,Deportes,Balón,1,248100.0,248100.0,Efectivo,False
2023-03-29,Los Lagos,Electrodomésticos,Refrigerador,2,13700.0,27400.0,Efectivo,False
2023-11-21,Los Lagos,Tecnología,Notebook,2,56100.0,112200.0,Transferencia,True
2023-08-15,La Unión,Ropa,Chaqueta,4,90900.0,363600.0,Débito,True
2023-03-27,Futrono,Ropa,Pantalón,3,184700.0,554100.0,Débito,False
2023-11-11,Corral,Deportes,Zapatillas,3,454200.0,1362600.0,Transferencia,True
2023-11-07,Los Lagos,Tecnología,Celular,2,231000.0,462000.0,Débito,True
2023-01-14,Lanco,Hogar,Mesa,4,354500.0,1418000.0,Crédito,False
2023-06-20,Paillaco,Tecnología,Celular,1,114300.0,114300.0,Efectivo,False
2023-03-19,Los Lagos,Tecnología,Tablet,4,343500.0,1374000.0,Efectivo,False
2023-03-15,Paillaco,Ropa,Polera,4,127300.0,509200.0,Transferencia,True
2023-04-26,Paillaco,Deportes,Balón,4,70200.0,280800.0,Transferencia,True
2023-05-27,Panguipulli,Deportes,Balón,2,63900.0,127800.0,Transferencia,False
2023-02-23,Paillaco,Deportes,Bicicleta,2,351400.0,702800.0,Débito,False
2023-05-13,Río Bueno,Ropa,Chaqueta,3,452900.0,1358700.0,Efectivo,True
2023-04-17,Futrono,Hogar,Lámpara,2,369200.0,738400.0,Crédito,False
2023-03-17,Valdivia,Deportes,Zapatillas,1,129500.0,129500.0,Débito,False
2023-03-29,Lanco,Electrodomésticos,Hervidor,3,472900.0,1418700.0,Transferencia,False
2023-07-21,Río Bueno,Tecnología,Notebook,2,69700.0,139400.0,Efectivo,False
2023-12-16,Los Lagos,Electrodomésticos,Microondas,2,150500.0,301000.0,Transferencia,True
2023-03-05,Panguipulli,Hogar,Lámpara,1,256200.0,256200.0,Crédito,False
2023-05-07,Paillaco,Tecnología,Notebook,3,489100.0,1467300.0,Efectivo,False
2023-06-06,La Unión,Ropa,Polera,4,186200.0,744800.0,Crédito,False
2023-04-22,Panguipulli,Hogar,Silla,2,473600.0,947200.0,Crédito,False
2023-02-14,La Unión,Tecnología,Celular,4,5700.0,22800.0,Crédito,True
2023-02-23,Futrono,Alimentos,Pan,3,252900.0,758700.0,Transferencia,True
2023-02-20,Panguipulli,Tecnología,Celular,3,341800.0,1025400.0,Efectivo,True
2023-03-28,Mariquina,Deportes,Bicicleta,2,446100.0,892200.0,Débito,True
2023-11-20,Mariquina,Tecnología,Tablet,4,219300.0,877200.0,Transferencia,True
2023-12-22,Mariquina,Ropa,Chaqueta,4,480200.0,1920800.0,Débito,False
2023-04-13,Mariquina,Electrodomésticos,Refrigerador,3,452900.0,1358700.0,Débito,False
2023-06-21,Futrono,Hogar,Silla,4,374000.0,1496000.0,Efectivo,False
2023-11-03,Río Bueno,Hogar,Mesa,1,409500.0,409500.0,Efectivo,True
2023-10-11,Lanco,Tecnología,Notebook,3,424500.0,1273500.0,Efectivo,False
2023-01-03,Mariquina,Hogar,Mesa,3,107800.0,323400.0,Transferencia,False
2023-09-06,Mariquina,Tecnología,Tablet,4,373000.0,1492000.0,Transferencia,True
2023-12-10,Corral,Ropa,Chaqueta,4,197800.0,791200.0,Efectivo,False
2023-05-31,Corral,Hogar,Mesa,3,67400.0,202200.0,Efectivo,False
2023-12-07,Lanco,Ropa,Chaqueta,3,482900.0,1448700.0,Transferencia,False
2023-10-04,Paillaco,Electrodomésticos,Hervidor,1,368400.0,368400.0,Débito,True
2023-02-08,Lanco,Deportes,Zapatillas,3,306700.0,920100.0,Débito,False
2023-12-30,Los Lagos,Hogar,Mesa,2,146900.0,293800.0,Débito,False
2023-07-21,Corral,Ropa,Pantalón,2,132500.0,265000.0,Efectivo,True
2023-01-02,Corral,Ropa,Pantalón,2,447900.0,895800.0,Débito,True
2023-06-17,Río Bueno,Electrodomésticos,Hervidor,1,452900.0,452900.0,Crédito,True
2023-08-17,Lanco,Electrodomésticos,Refrigerador,3,68400.0,205200.0,Crédito,False
2023-05-08,La Unión,Tecnología,Notebook,3,437400.0,1312200.0,Efectivo,False
2023-07-13,Panguipulli,Hogar,Silla,2,366100.0,732200.0,Crédito,False
2023-03-23,Mariquina,Electrodomésticos,Refrigerador,3,115600.0,346800.0,Transferencia,True
2023-12-03,La Unión,Deportes,Balón,3,154400.0,463200.0,Crédito,False
2023-11-13,Mariquina,Deportes,Zapatillas,1,146000.0,146000.0,Efectivo,False
2023-03-29,Futrono,Tecnología,Notebook,3,329600.0,988800.0,Débito,True
2023-12-24,Panguipulli,Hogar,Mesa,1,91800.0,91800.0,Crédito,False
2023-03-23,Paillaco,Electrodomésticos,Hervidor,1,295200.0,295200.0,Efectivo,False
2023-01-31,Río Bueno,Electrodomésticos,Hervidor,2,211400.0,422800.0,Crédito,False
2023-03-06,Futrono,Tecnología,Tablet,4,215500.0,862000.0,Transferencia,False
2023-04-02,Lanco,Deportes,Zapatillas,3,205300.0,615900.0,Débito,False
2023-03-06,Panguipulli,Deportes,Balón,4,251800.0,1007200.0,Efectivo,True
2023-08-25,Valdivia,Electrodomésticos,Microondas,3,341100.0,1023300.0,Crédito,True
2023-02-02,Lanco,Ropa,Polera,1,93200.0,93200.0,Transferencia,False
2023-09-17,Corral,Alimentos,Pan,3,238600.0,715800.0,Transferencia,True
2023-04-21,Los Lagos,Ropa,Pantalón,2,357000.0,714000.0,Efectivo,True
2023-08-10,Panguipulli,Deportes,Bicicleta,1,407200.0,407200.0,Transferencia,False
2023-09-05,La Unión,Alimentos,Leche,3,294700.0,884100.0,Transferencia,False
2023-12-18,Los Lagos,Deportes,Balón,4,388400.0,1553600.0,Débito,True
2023-01-13,Los Lagos,Alimentos,Leche,2,71900.0,143800.0,Efectivo,True
2023-03-05,Futrono,Deportes,Zapatillas,2,123300.0,246600.0,Efectivo,False
2023-10-11,Paillaco,Deportes,Bicicleta,2,142400.0,284800.0,Efectivo,False
2023-02-06,Mariquina,Tecnología,Celular,2,166700.0,333400.0,Crédito,False
2023-05-19,Mariquina,Alimentos,Huevos,4,317000.0,1268000.0,Crédito,True
2023-06-14,Los Lagos,Hogar,Lámpara,2,228000.0,456000.0,Débito,True
2023-10-14,Paillaco,Electrodomésticos,Refrigerador,1,165100.0,165100.0,Débito,True
2023-10-30,Futrono,Deportes,Zapatillas,3,323500.0,970500.0,Débito,False
2023-06-04,La Unión,Hogar,Mesa,4,327500.0,1310000.0,Crédito,False
2023-01-04,Corral,Ropa,Pantalón,4,12600.0,50400.0,Crédito,False
2023-08-09,Valdivia,Ropa,Chaqueta,3,166800.0,500400.0,Crédito,False
2023-12-16,Panguipulli,Electrodomésticos,Microondas,1,150700.0,150700.0,Crédito,True
2023-04-23,La Unión,Alimentos,Leche,1,358800.0,358800.0,Transferencia,False
2023-08-15,Valdivia,Hogar,Lámpara,3,252900.0,758700.0,Crédito,True
2023-04-19,Río Bueno,Alimentos,Leche,1,225800.0,225800.0,Débito,False
2023-02-21,Lanco,Hogar,Silla,4,25200.0,100800.0,Débito,True
2023-08-18,La Unión,Tecnología,Tablet,1,162600.0,162600.0,Débito,False
2023-12-05,Paillaco,Alimentos,Huevos,4,185200.0,740800.0,Efectivo,False
2023-01-06,Paillaco,Hogar,Mesa,1,27900.0,27900.0,Crédito,False
2023-03-04,Paillaco,Alimentos,Arroz,4,37600.0,150400.0,Efectivo,False
2023-10-27,Mariquina,Ropa,Chaqueta,1,185600.0,185600.0,Transferencia,False
2023-06-26,Río Bueno,Tecnología,Celular,3,234600.0,703800.0,Transferencia,True
2023-12-04,Lanco,Deportes,Bicicleta,3,252500.0,757500.0,Débito,False
2023-08-30,Los Lagos,Ropa,Polera,1,56500.0,56500.0,Transferencia,True
2023-07-21,Futrono,Ropa,Pantalón,3,232600.0,697800.0,Débito,False
2023-09-06,La Unión,Alimentos,Huevos,2,423800.0,847600.0,Crédito,False
2023-09-30,Los Lagos,Alimentos,Pan,3,311600.0,934800.0,Débito,False
2023-04-06,Futrono,Hogar,Silla,2,491000.0,982000.0,Crédito,True
2023-06-05,Paillaco,Hogar,Silla,2,25900.0,51800.0,Débito,False
2023-04-09,Río Bueno,Deportes,Bicicleta,3,286900.0,860700.0,Crédito,True
2023-02-27,Río Bueno,Electrodomésticos,Hervidor,4,484400.0,1937600.0,Efectivo,False
2023-03-28,Paillaco,Tecnología,Notebook,2,490100.0,980200.0,Crédito,True
2023-11-22,Panguipulli,Deportes,Zapatillas,1,226900.0,226900.0,Crédito,False
2023-01-21,Futrono,Electrodomésticos,Microondas,1,352000.0,352000.0,Débito,False
2023-09-09,Mariquina,Alimentos,Huevos,1,365000.0,365000.0,Transferencia,True
2023-11-26,Futrono,Electrodomésticos,Refrigerador,2,470200.0,940400.0,Transferencia,False
2023-12-08,Los Lagos,Deportes,Zapatillas,3,283700.0,851100.0,Efectivo,True
2023-08-05,Mariquina,Ropa,Polera,2,371400.0,742800.0,Efectivo,True
2023-12-03,Río Bueno,Alimentos,Pan,1,243400.0,243400.0,Crédito,True
2023-12-26,Corral,Deportes,Zapatillas,2,494300.0,988600.0,Efectivo,True
2023-06-29,Paillaco,Electrodomésticos,Hervidor,2,263200.0,526400.0,Débito,False
2023-09-19,Valdivia,Ropa,Polera,4,345100.0,1380400.0,Efectivo,True
2023-02-28,Lanco,Ropa,Chaqueta,2,393200.0,786400.0,Efectivo,True
2023-09-28,Lanco,Alimentos,Pan,2,333300.0,666600.0,Crédito,True
2023-03-24,Futrono,Alimentos,Leche,4,492200.0,1968800.0,Efectivo,False
2023-08-06,Valdivia,Ropa,Pantalón,3,436000.0,1308000.0,Débito,False
2023-05-19,Paillaco,Deportes,Zapatillas,2,419800.0,839600.0,Efectivo,True
2023-10-13,Río Bueno,Deportes,Balón,3,46700.0,140100.0,Transferencia,True
2023-07-22,Lanco,Ropa,Pantalón,3,200000.0,600000.0,Crédito,False
2023-02-09,Mariquina,Tecnología,Tablet,1,239700.0,239700.0,Crédito,False
2023-06-18,Corral,Ropa,Pantalón,1,95600.0,95600.0,Transferencia,True
2023-07-13,Futrono,Hogar,Lámpara,2,98300.0,196600.0,Crédito,True
2023-02-24,Lanco,Electrodomésticos,Refrigerador,3,464800.0,1394400.0,Transferencia,True
2023-01-15,Río Bueno,Deportes,Zapatillas,1,451100.0,451100.0,Crédito,False
2023-05-01,Panguipulli,Electrodomésticos,Microondas,2,304800.0,609600.0,Efectivo,False
2023-02-07,Panguipulli,Ropa,Polera,1,457900.0,457900.0,Débito,True
2023-03-02,Lanco,Electrodomésticos,Microondas,1,497100.0,497100.0,Efectivo,False
2023-08-10,Mariquina,Deportes,Balón,2,474700.0,949400.0,Crédito,False
2023-05-18,Los Lagos,Ropa,Chaqueta,2,144200.0,288400.0,Transferencia,False
2023-06-22,Corral,Ropa,Chaqueta,3,32500.0,97500.0,Efectivo,True
2023-06-16,Panguipulli,Deportes,Balón,2,312600.0,625200.0,Transferencia,True
2023-07-10,Río Bueno,Hogar,Silla,4,241500.0,966000.0,Débito,False
2023-01-19,Futrono,Ropa,Pantalón,4,308900.0,1235600.0,Débito,True
2023-10-18,Panguipulli,Tecnología,Tablet,1,151200.0,151200.0,Transferencia,True
2023-03-20,Lanco,Hogar,Lámpara,2,343000.0,686000.0,Débito,True
2023-08-23,Río Bueno,Electrodomésticos,Hervidor,4,133900.0,535600.0,Débito,True
2023-01-21,Panguipulli,Electrodomésticos,Hervidor,3,38800.0,116400.0,Transferencia,True
2023-06-05,Mariquina,Ropa,Chaqueta,3,272200.0,816600.0,Efectivo,False
2023-08-19,Panguipulli,Ropa,Polera,4,291300.0,1165200.0,Débito,False
2023-10-23,Los Lagos,Deportes,Zapatillas,2,234300.0,468600.0,Transferencia,True
2023-05-06,Río Bueno,Ropa,Chaqueta,1,470500.0,470500.0,Transferencia,True
2023-01-02,Panguipulli,Electrodomésticos,Refrigerador,1,19600.0,19600.0,Crédito,True
2023-05-08,Corral,Alimentos,Leche,2,171500.0,343000.0,Efectivo,False
2023-03-04,Río Bueno,Electrodomésticos,Microondas,3,438300.0,1314900.0,Crédito,False
2023-03-29,Lanco,Ropa,Chaqueta,2,226200.0,452400.0,Débito,False
2023-12-18,Corral,Tecnología,Tablet,2,475000.0,950000.0,Efectivo,True
2023-04-19,Panguipulli,Hogar,Silla,2,283700.0,567400.0,Crédito,True
2023-03-31,Lanco,Ropa,Chaqueta,4,85000.0,340000.0,Débito,False
2023-09-01,Futrono,Ropa,Chaqueta,2,50300.0,100600.0,Transferencia,False
2023-12-08,Lanco,Ropa,Chaqueta,3,184000.0,552000.0,Crédito,False
2023-05-07,Mariquina,Hogar,Lámpara,3,182600.0,547800.0,Crédito,True
2023-09-21,Futrono,Electrodomésticos,Refrigerador,4,105600.0,422400.0,Débito,False
2023-04-16,Futrono,Tecnología,Notebook,2,24800.0,49600.0,Efectivo,True
2023-01-06,Panguipulli,Hogar,Mesa,4,194400.0,777600.0,Crédito,True
2023-05-28,Mariquina,Ropa,Pantalón,2,163200.0,326400.0,Efectivo,False
2023-05-28,Paillaco,Alimentos,Huevos,4,399800.0,1599200.0,Crédito,True
2023-04-04,Paillaco,Tecnología,Celular,4,468000.0,1872000.0,Débito,False
2023-05-02,Corral,Deportes,Balón,1,296100.0,296100.0,Efectivo,True
2023-01-13,Los Lagos,Hogar,Mesa,1,36700.0,36700.0,Transferencia,False
2023-04-27,Paillaco,Tecnología,Notebook,4,407700.0,1630800.0,Débito,True
2023-09-25,Valdivia,Tecnología,Tablet,1,407000.0,407000.0,Crédito,False
2023-01-31,La Unión,Tecnología,Notebook,3,237500.0,712500.0,Transferencia,True
2023-08-03,Panguipulli,Electrodomésticos,Hervidor,4,106900.0,427600.0,Débito,False
2023-11-13,La Unión,Hogar,Lámpara,4,135400.0,541600.0,Transferencia,False
2023-04-23,La Unión,Hogar,Silla,3,498400.0,1495200.0,Crédito,False
2023-09-21,Lanco,Tecnología,Celular,2,282400.0,564800.0,Transferencia,True
2023-03-06,Río Bueno,Electrodomésticos,Hervidor,2,409000.0,818000.0,Transferencia,False
2023-06-11,La Unión,Hogar,Mesa,1,489900.0,489900.0,Transferencia,False
2023-10-10,Los Lagos,Deportes,Zapatillas,1,54900.0,54900.0,Efectivo,False
2023-08-26,Paillaco,Electrodomésticos,Hervidor,2,300500.0,601000.0,Crédito,True
2023-10-12,Paillaco,Tecnología,Notebook,1,288000.0,288000.0,Débito,True
2023-02-06,Valdivia,Tecnología,Tablet,4,378000.0,1512000.0,Débito,False
2023-11-10,Valdivia,Ropa,Pantalón,2,310000.0,620000.0,Débito,False
2023-05-24,Futrono,Ropa,Chaqueta,4,129800.0,519200.0,Crédito,False
2023-08-20,Mariquina,Hogar,Silla,2,385500.0,771000.0,Crédito,False
2023-10-27,Lanco,Ropa,Chaqueta,4,357300.0,1429200.0,Transferencia,True
2023-10-17,Corral,Deportes,Zapatillas,2,234900.0,469800.0,Efectivo,False
2023-11-25,La Unión,Tecnología,Celular,1,227300.0,227300.0,Débito,False
2023-09-12,Corral,Deportes,Zapatillas,4,99900.0,399600.0,Débito,False
2023-02-08,Mariquina,Deportes,Zapatillas,1,207500.0,207500.0,Efectivo,True
2023-01-07,Corral,Deportes,Zapatillas,2,338900.0,677800.0,Efectivo,False
2023-12-13,Los Lagos,Tecnología,Notebook,1,310800.0,310800.0,Crédito,False
2023-06-22,Los Lagos,Tecnología,Tablet,3,432800.0,1298400.0,Crédito,True
2023-07-31,Río Bueno,Electrodomésticos,Hervidor,4,73200.0,292800.0,Crédito,False
2023-07-03,Panguipulli,Electrodomésticos,Hervidor,1,134100.0,134100.0,Débito,True
2023-09-04,Paillaco,Electrodomésticos,Hervidor,3,312400.0,937200.0,Transferencia,False
2023-10-17,Panguipulli,Hogar,Mesa,1,18100.0,18100.0,Crédito,True
2023-11-02,Panguipulli,Deportes,Zapatillas,2,364100.0,728200.0,Crédito,False
2023-04-24,Río Bueno,Tecnología,Notebook,4,310400.0,1241600.0,Débito,False
2023-09-15,Mariquina,Hogar,Silla,3,420000.0,1260000.0,Débito,True
2023-03-27,Panguipulli,Alimentos,Huevos,2,253900.0,507800.0,Transferencia,True
2023-11-21,Paillaco,Deportes,Balón,3,27800.0,83400.0,Crédito,True
2023-11-05,Río Bueno,Deportes,Bicicleta,4,256500.0,1026000.0,Crédito,True
2023-05-10,Valdivia,Deportes,Bicicleta,2,70900.0,141800.0,Efectivo,True
2023-08-14,Corral,Deportes,Zapatillas,3,3300.0,9900.0,Crédito,True
2023-05-02,Río Bueno,Tecnología,Notebook,4,98600.0,394400.0,Efectivo,True
2023-09-18,Los Lagos,Deportes,Balón,4,399600.0,1598400.0,Crédito,True
2023-10-09,Río Bueno,Ropa,Polera,1,378100.0,378100.0,Efectivo,False
2023-06-05,Panguipulli,Ropa,Polera,1,77100.0,77100.0,Débito,False
2023-03-12,La Unión,Electrodomésticos,Hervidor,1,468200.0,468200.0,Débito,False
2023-01-10,Mariquina,Ropa,Chaqueta,3,39500.0,118500.0,Crédito,True
2023-11-17,Futrono,Hogar,Mesa,3,307200.0,921600.0,Crédito,True
2023-09-08,Valdivia,Hogar,Lámpara,2,454000.0,908000.0,Efectivo,True
2023-08-17,Panguipulli,Alimentos,Huevos,2,318800.0,637600.0,Transferencia,False
2023-03-22,Los Lagos,Deportes,Zapatillas,1,297600.0,297600.0,Débito,False
2023-02-01,La Unión,Tecnología,Celular,1,166100.0,166100.0,Crédito,False
2023-05-20,Corral,Hogar,Silla,2,166100.0,332200.0,Transferencia,True
2023-07-07,Lanco,Deportes,Bicicleta,1,403800.0,403800.0,Efectivo,True
2023-04-11,Panguipulli,Ropa,Pantalón,4,185300.0,741200.0,Efectivo,True
2023-03-15,Mariquina,Deportes,Zapatillas,3,70700.0,212100.0,Transferencia,False
2023-02-19,Lanco,Hogar,Lámpara,1,95600.0,95600.0,Efectivo,False
2023-01-14,Los Lagos,Tecnología,Tablet,1,226400.0,226400.0,Transferencia,True
2023-03-28,Valdivia,Hogar,Silla,1,40900.0,40900.0,Débito,True
2023-04-05,Mariquina,Hogar,Lámpara,2,251300.0,502600.0,Débito,False
